,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
Aguascalientes,"servicio, edad, empresa, municipio, puesto, sexo, encontrar, salud, municipal, horario, presentar, experiencia, deber, policía, vacante","contenedor, agua, noticia, empresa, contar, servicio, sanitario, lograr, operar, obra, temperatura, llamar, principalmente, pedir, suspensión","nissan, producto, pesos, familia, centro, encontrar, producción, servicio, económico, contar, lugar, nivel, pedir, deber, mercado","servicio, mujer, empresa, encontrar, social, deber, transporte, familia, contar, vida, proyecto, trabajo, desarrollo, programa, juan","empresa, encontrar, policía, salud, médico, trabajador, hora, personal, estatal, servicio, municipal, presentar, proceso, pesos, seguridad","agua, estatal, sanitario, salud, centro, municipio, municipal, internacional, servicio, lugar, animal, seguridad, medida, autoridad, jesús","necaxa, educación, proyecto, equipo, participar, atleta, trabajo, partido, vida, electoral, destacar, lograr, obra, instituto, arquitectura","mujer, autoridad, municipio, menor, justicia, juez, lugar, encontrar, contar, centro, federal, delito, derecho, comisión, estatal"
Baja California,"paz, banda, asegurar, mujer, encontrar, violencia, local, alto, cabo, zona, punto, mantener, planta, capacidad, casa","deportado, tijuana, estudiante, asalto, cadavérico, trasplante, sscbc, trasplante cadavérico, dólar, lugar, noticia, sistema, continuar, relacionado, mexicali","mexicali, camión, zona, pagar, denunciar, reportar, deber, valle, incendio, vial, peritaje, federal, confirmar, investigación, colonia","servicio, cabo, información, paz, vino, estatal, sanitario, ferri, empresa, seguridad, ruta, producto, mexicali, homicidio, negocio","salud, tijuana, hospital, paciente, coronavirus, médico, contagio, número, muerte, imss, mexicali, confirmado, social, pandemia, activo","cabo, pesos, empresa, servicio, hectárea, producción, estatal, municipio, desarrollo, paz, mexicali, gobernador, contar, salud, secretaría","estatal, autoridad, tijuana, paz, investigación, seguridad, mujer, policía, salud, encontrar, fiscalía, cártel, centro, cabo, cuerpo","agua, cabo, zona, encontrar, viento, lugar, hora, especie, mar, marino, paz, norte, playa, empresa, temperatura"
Baja California Sur,"marino, encontrar, autoridad, salud, municipio, protección, especie, zona, área, investigación, ballena, social, comisión, vida, lobo","salud, servicio, zona, señalar, médico, centro, área, contar, autoridad, actividad, social, playa, pandemia, federal, informar","agua, alto, mantener, punto, local, litro, capacidad, turístico, planta, instalar, palmera, arbusto, casa, zona, encontrar","salud, grupo, seguridad, estatal, sistema, zona, servicio, policía, señalar, norte, centro, municipio, colonia, encontrar, secretaría","playa, tortuga, marino, red, encontrar, autoridad, paz bcs, viento, zona, especie, deber, social, josé, municipio, hora","playa, zona, hora, agua, autoridad, servicio, marino, señalar, norte, turismo, municipio, medida, deber, contar, grado","playa, trabajo, misión, encontrar, agua, deber, autoridad, estatal, ciudadano, padre, municipio, social, trabajador, presentar, salud","viento, encontrar, hora, cielo, temperatura, salud, mínimo, semáforo, lluvia, registrar, informar, color, zona, activo, presentar"
Campeche,"lluvia, fuerte, viento, racha, temperatura, eléctrico, chubasco, pesos, norte, descarga, descarga eléctrico, hora, acompañado, intervalo, puntual","salud, zona, servicio, carmen, encontrar, agua, social, pesos, deber, maya, personal, secretaría, sanitario, señalar, municipio","jornada, culiacán, servicio, sociedad, zona, presentar, encontrar, comunidad, maya, explicar, problema, energía, deber, evitar, especie","salud, pesos, empresa, contagio, municipio, autoridad, trabajador, federal, maya, maíz, plataforma, centro, secretaría, medida, soya","maya, tren, tren maya, proyecto, zona, contar, comunidad, servicio, salud, incendio, tramo, carmen, construcción, encontrar, isla","proyecto, comunidad, empresa, zona, maya, hora, encontrar, tren, noticia, pueblo, plataforma, federal, sistema, municipio, agua","carmen, maya, zona, jornada, turismo, pemex, culiacán, presentar, encontrar, trabajador, lugar, autoridad, salud, sociedad, plataforma","noticia, destacado, encontrar, noticia destacado, carmen, trabajo, lugar, contar, zona, obra, pesos, militar, población, municipio, compartir"
Chiapas,"acteal, grupo, masacre, justicia, tonelada, equipo, víctima, señalar, región, tren, internacional, actividad, vida, producción, militar","trasladar, tuxtla, presunto, casa, lesionado, médico, instancia, cristóbal, gutiérrez, tuxtla gutiérrez, instancia médico, detener, elemento, dejar, hombre","comunidad, municipio, humanos, derechos, derechos humanos, casa, educación, familia, social, indígena, situación, niño, vida, mujer, estatal","riesgo, tapachula, precio, control, mosca, puerto, dejar, soconusco, abeja, vuelo, humanitario, carretera, madero, función, exigir","especie, natural, cañón, sumidero, cañón sumidero, área, lugar, agua, protegido, parque, área natural, natural protegido, área natural protegido, conanp, sitio","exigir, justicia, normalista, fraude, víctima, pedir, tuxtla, elección, niña, jesús, capital, vecino, pigmento, natural, escuela","municipio, agua, pesos, zona, trabajo, proyecto, casa, lluvia, secretaría, protección, población, servicio, río, centro, mencionar","mujer, salud, pandemia, comunidad, trabajo, hospital, médico, partera, joven, muerte, pasar, atención, atender, social, indígena"
Chihuahua,"homicidio, cnte, sheinbaum, funcionario, homicidio funcionario, secretario, segob, encuentro, palacio, político, federal, viernes, presidenta, regidor, diputado","liga, dorado, campeón, temporada, celebrar, santa, rodeo, rita, instructor, santa rita, liderar, competencia, categoría, medalla, entrenador","grupo, vida, fiscalía, mujer, elemento, familia, asegurar, hombre, arma, víctima, guardia, municipio, lugar, pasar, zona","municipio, ofrecer, servicio, ofrecer servicio, licitación, inicial, incendio, pensión, uach, sequía, investigar, exigir, madera, parral, comenzar","gobernador, corral, político, federal, estatal, investigación, justicia, fiscalía, duarte, electoral, césar, javier, pesos, marisela, javier corral","banda, metal, paul, álbum, música, grupo, lugar, escuchar, rock, trump, dejar, llamado, tocar, querer, disco","banda, metal, álbum, rock, grupo, paul, música, tocar, lugar, grabar, madre, canción, trump, concierto, publicar","agua, salud, servicio, centro, estatal, atención, municipio, social, señalar, buscar, desarrollo, personal, área, colonia, trabajo"
Coahuila,"torreón, universidad, escuela, salud, área, recibir, vida, río, vacuna, proceso, médico, personal, encontrar, servicio, social","empresa, salud, región, medida, económico, carbón, trabajador, sanitario, servicio, producción, industria, federal, sector, secretaría, deber","electoral, vino, casa, partido, encontrar, municipio, local, contar, pueblo, lugar, pri, distrito, político, don, torreón","saltillo, mujer, torreón, familia, casa, centro, hombre, violencia, autoridad, salud, social, encontrar, vida, programa, monclova","agua, zona, torreón, lluvia, viento, civil, municipio, fuerte, protección, norte, hora, vivienda, protección civil, encontrar, dejar","saltillo, región, lugar, centro, seguridad, zona, torreón, municipio, pesos, encontrar, contar, secretaría, laguna, historia, grupo","desarrollo, seguro, calidad, servicio, aumentar, acceder, ciudadanía, ambiente, acceder servicio, salud, sector, autoridad, infraestructura, atender, construir","cuerpo, hospital, imss, médico, paciente, salud, social, personal, plan, exhumación, panteón, seguro, fosa, seguro social, torreón"
Colima,"zona, protección, lluvia, fuerte, parque, civil, hora, temperatura, protección civil, actividad, servicio, costa, mantener, metro, tormenta","federal, juez, partido, mujer, esposa, seguridad, justicia, electoral, investigación, penal, político, asesinato, alianza, fiscalía, judicial","salud, educación, estatal, social, secretaría, seguridad, escuela, servicio, álvarez, hospital, director, médico, mujer, deber, educativo","gobernador, sánchez, salud, informar, peralta, confirmado, contagio, estatal, coronavirus, diputada, pesos, encontrar, manzanillo, mayo, medida","pesos, cerveza, empresa, proyecto, encontrar, cervecería, colimo, servicio, agua, lugar, informar, obra, zona, municipio, pandemia","seguridad, delito, grupo, centro, casa, arma, encontrar, homicidio, droga, registrar, alto, social, interno, tipo, puerto","equipo, colimense, mujer, vehículo, álvarez, federal, lugar, futbol, encontrar, historia, municipio, fallecer, accidente, estatal, pagar","manzanillo, encontrar, policía, municipio, zona, lugar, elemento, seguridad, puerto, autoridad, federal, secretaría, cuerpo, comunidad, estatal"
Durango,"municipal, social, área verde, verde, paz, área, candidato, programa, seguro, territorio, pedir, sistema, municipio, zona, calidad","salud, encontrar, zona, municipio, hospital, servicio, lugar, municipal, señalar, personal, hora, médico, estatal, trabajo, informar","vida, hombre, accidente, fallecer, gómez palacio, gómez, palacio, perder, motocicleta, morir, edad, joven, lerdo, perder vida, impactar","elección, elección elección, elección elección elección, face, amorebieto, azoka, tip, tip tip, columna, área, tip tip tip, concurso, noticia, asociación, baloncesto","vida, familia, actor, mujer, serie, querer, hijo, red, historia, social, mundo, compartir, casa, vivir, carrera","publicidad, participación, bilbao, cambio, aficionado, cerveza, inglés, plaza, club, torneo, noticia, profesional, ayuntamiento, servicio, duranguens","dodge, srt, hellcat, modelo, motor, movimiento, srt hellcat, suv, versión, contar, movimiento ciudadano, sistema, dodge srt, agua, lozano","instagram, publicación, publicación instagram, imagen, instagram publicación, eta, instagram publicación instagram, foto, mostrar, publicación instagram publicación, fotografía, sitio, video, historia, red"
Guanajuato,"mayo, salud, maestro, ssg, familia, personal, apoyo, estudiante, escuela, red, seg, sector, fortalecer, estrategia, estatal","arma, momia, municipal, dosis, museo, detención, asegurar, cartucho, hombre, droga, policía, delito, fuego, seguridad, arma fuego","agua, celaya, turismo, mayo, turístico, impulsar, municipal, estudiante, familia, miguel, destacar, sector, agua potable, potable, obra","homicidio, sheinbaum, rubio, real, observatorio, robo, ayer, diplomático, embajada, cisjordania, disparo, judicial, violencia, ejército, diplomático cisjordania","policía, movilidad, industria, joven, masacre, fiscal, foro, orgánico, trabajo, favor, destacar, director, estudiante, felipe, edificio","lugar, encontrar, agua, miguel, contar, zona, vida, municipal, capital, josé, casa, salud, trabajo, deber, mujer","empresa, pesos, desarrollo, inversión, planta, producto, gobernador, industria, sector, producción, económico, rodríguez, empleo, contar, proyecto","cártel, marro, seguridad, grupo, rosa, santa, santa rosa, autoridad, criminal, lima, rosa lima, santa rosa lima, fiscalía, celaya, cártel santa"
